[12/Nov/2024 20:12:34] {'altitude': -0.2, 'instrument_released': 0, 'latitude': 0, 'launched': 0, 'longitude': 0, 'parachute_released': 0, 'pressure': 101437.6, 'target_altitude_reached': 0, 'temperature': 22.5, 'x_rotation': -1, 'y_rotation': 1, 'z_rotation': -34, 'replay_id': '714'}
[12/Nov/2024 20:12:44] {'altitude': 0.3, 'instrument_released': 0, 'latitude': 0, 'launched': 0, 'longitude': 0, 'parachute_released': 0, 'pressure': 101431.5, 'target_altitude_reached': 0, 'temperature': 22.5, 'x_rotation': -17, 'y_rotation': -9, 'z_rotation': -12, 'replay_id': '714'}
[12/Nov/2024 20:12:45] {'altitude': 0.1, 'instrument_released': None, 'latitude': 0, 'launched': 0, 'longitude': 0, 'parachute_released': None, 'pressure': 101434.3, 'target_altitude_reached': 0, 'temperature': 22.5, 'x_rotation': -9, 'y_rotation': -12, 'z_rotation': -37, 'replay_id': '714'}
[12/Nov/2024 20:12:45] {'altitude': -0.1, 'instrument_released': 0, 'latitude': 0, 'launched': 0, 'longitude': 0, 'parachute_released': 0, 'pressure': 101435.8, 'target_altitude_reached': 0, 'temperature': 22.5, 'x_rotation': 3, 'y_rotation': -1, 'z_rotation': -34, 'replay_id': '714'}
[12/Nov/2024 20:12:46] {'altitude': -0.2, 'instrument_released': 0, 'latitude': 0, 'launched': 0, 'longitude': 0, 'parachute_released': 0, 'pressure': 101437.1, 'target_altitude_reached': 0, 'temperature': 22.5, 'x_rotation': -13, 'y_rotation': -60, 'z_rotation': -51, 'replay_id': '714'}
[12/Nov/2024 20:12:46] {'altitude': -0.3, 'instrument_released': 0, 'latitude': 0, 'launched': 0, 'longitude': 0, 'parachute_released': 0, 'pressure': 101438.6, 'target_altitude_reached': 0, 'temperature': 22.5, 'x_rotation': -1, 'y_rotation': 1, 'z_rotation': -34, 'replay_id': '714'}
[12/Nov/2024 20:12:47] {'altitude': -0.2, 'instrument_released': 0, 'latitude': 0, 'launched': 0, 'longitude': 0, 'parachute_released': 0, 'pressure': 101437.9, 'target_altitude_reached': 0, 'temperature': 22.5, 'x_rotation': -1, 'y_rotation': 1, 'z_rotation': -34, 'replay_id': '714'}
[12/Nov/2024 20:12:47] {'altitude': None, 'instrument_released': None, 'latitude': 0, 'launched': None, 'longitude': 0, 'parachute_released': None, 'pressure': None, 'target_altitude_reached': None, 'temperature': None, 'x_rotation': None, 'y_rotation': None, 'z_rotation': None, 'replay_id': '714'}
[12/Nov/2024 20:12:48] {'altitude': -0.4, 'instrument_released': 0, 'latitude': 0, 'launched': 0, 'longitude': 0, 'parachute_released': 0, 'pressure': 101440.1, 'target_altitude_reached': 0, 'temperature': 22.5, 'x_rotation': -1, 'y_rotation': 1, 'z_rotation': -34, 'replay_id': '714'}
[12/Nov/2024 20:12:48] {'altitude': -0.3, 'instrument_released': 0, 'latitude': 0, 'launched': 0, 'longitude': 0, 'parachute_released': 0, 'pressure': 101438.8, 'target_altitude_reached': 0, 'temperature': 22.5, 'x_rotation': -1, 'y_rotation': 1, 'z_rotation': -34, 'replay_id': '714'}
[12/Nov/2024 20:12:49] {'altitude': -0.2, 'instrument_released': 0, 'latitude': 0, 'launched': 0, 'longitude': 0, 'parachute_released': 0, 'pressure': 101437.4, 'target_altitude_reached': 0, 'temperature': 22.5, 'x_rotation': -1, 'y_rotation': 1, 'z_rotation': -34, 'replay_id': '714'}
[12/Nov/2024 20:12:49] {'altitude': -0.1, 'instrument_released': None, 'latitude': 0, 'launched': None, 'longitude': 0, 'parachute_released': None, 'pressure': 101436.8, 'target_altitude_reached': None, 'temperature': None, 'x_rotation': -1, 'y_rotation': 1, 'z_rotation': None, 'replay_id': '714'}
[12/Nov/2024 20:12:50] {'altitude': -0.4, 'instrument_released': 0, 'latitude': 0, 'launched': 0, 'longitude': 0, 'parachute_released': 0, 'pressure': 101440.3, 'target_altitude_reached': 0, 'temperature': 22.5, 'x_rotation': -1, 'y_rotation': 1, 'z_rotation': -34, 'replay_id': '714'}
[12/Nov/2024 20:12:50] {'altitude': -0.1, 'instrument_released': 0, 'latitude': 0, 'launched': 0, 'longitude': 0, 'parachute_released': 0, 'pressure': 101436.8, 'target_altitude_reached': 0, 'temperature': 22.5, 'x_rotation': -1, 'y_rotation': 1, 'z_rotation': -34, 'replay_id': '714'}
[12/Nov/2024 20:12:51] {'altitude': -0.1, 'instrument_released': 0, 'latitude': 0, 'launched': 0, 'longitude': 0, 'parachute_released': 0, 'pressure': 101436.8, 'target_altitude_reached': 0, 'temperature': 22.5, 'x_rotation': -1, 'y_rotation': 1, 'z_rotation': -34, 'replay_id': '714'}
[12/Nov/2024 20:12:51] {'altitude': -0.2, 'instrument_released': 0, 'latitude': 0, 'launched': 0, 'longitude': 0, 'parachute_released': 0, 'pressure': 101437.4, 'target_altitude_reached': 0, 'temperature': 22.5, 'x_rotation': -1, 'y_rotation': 1, 'z_rotation': -34, 'replay_id': '714'}
[12/Nov/2024 20:12:52] {'altitude': None, 'instrument_released': None, 'latitude': 0, 'launched': None, 'longitude': None, 'parachute_released': None, 'pressure': None, 'target_altitude_reached': None, 'temperature': None, 'x_rotation': None, 'y_rotation': None, 'z_rotation': None, 'replay_id': '714'}
[12/Nov/2024 20:12:52] {'altitude': -0.1, 'instrument_released': 0, 'latitude': 0, 'launched': 0, 'longitude': 0, 'parachute_released': 0, 'pressure': 101436.9, 'target_altitude_reached': 0, 'temperature': 22.5, 'x_rotation': -1, 'y_rotation': 1, 'z_rotation': -34, 'replay_id': '714'}
[12/Nov/2024 20:12:53] {'altitude': -0.2, 'instrument_released': 0, 'latitude': 0, 'launched': 0, 'longitude': 0, 'parachute_released': 0, 'pressure': 101437.5, 'target_altitude_reached': 0, 'temperature': 22.5, 'x_rotation': -1, 'y_rotation': 1, 'z_rotation': -34, 'replay_id': '714'}
[12/Nov/2024 20:12:54] {'altitude': -0.1, 'instrument_released': 0, 'latitude': 0, 'launched': 0, 'longitude': 0, 'parachute_released': 0, 'pressure': 101436.1, 'target_altitude_reached': 0, 'temperature': 22.5, 'x_rotation': -1, 'y_rotation': 1, 'z_rotation': -34, 'replay_id': '714'}
[12/Nov/2024 20:12:54] {'altitude': -0.1, 'instrument_released': None, 'latitude': 0, 'launched': None, 'longitude': 0, 'parachute_released': None, 'pressure': 101436, 'target_altitude_reached': None, 'temperature': None, 'x_rotation': None, 'y_rotation': None, 'z_rotation': None, 'replay_id': '714'}
[12/Nov/2024 20:12:55] {'altitude': -0.2, 'instrument_released': 0, 'latitude': 0, 'launched': 0, 'longitude': 0, 'parachute_released': 0, 'pressure': 101437.5, 'target_altitude_reached': 0, 'temperature': 22.5, 'x_rotation': -1, 'y_rotation': 1, 'z_rotation': -34, 'replay_id': '714'}
[12/Nov/2024 20:12:55] {'altitude': -0.1, 'instrument_released': 0, 'latitude': 0, 'launched': 0, 'longitude': 0, 'parachute_released': 0, 'pressure': 101436.2, 'target_altitude_reached': 0, 'temperature': 22.5, 'x_rotation': -1, 'y_rotation': 1, 'z_rotation': -34, 'replay_id': '714'}
[12/Nov/2024 20:12:56] {'altitude': -0.1, 'instrument_released': 0, 'latitude': 0, 'launched': 0, 'longitude': 0, 'parachute_released': 0, 'pressure': 101435.4, 'target_altitude_reached': 0, 'temperature': 22.5, 'x_rotation': -1, 'y_rotation': 1, 'z_rotation': -34, 'replay_id': '714'}
