[26/Feb/2026 17:54:35] {'temperature': 21.68, 'altitude': -1.11, 'voltage': 7.4, 'latitude': 38.83599, 'longitude': -77.40504, 'acceleration': {'z': 1.052, 'y': 0.041, 'x': -0.202}}
[26/Feb/2026 18:25:02] {'temperature': 22.04, 'altitude': -0.06, 'voltage': 7.4, 'latitude': 38.83603, 'longitude': -77.40491, 'acceleration': {'z': 1.095, 'y': 0.06, 'x': 0.04}}
[26/Feb/2026 18:25:03] {'temperature': 22.04, 'altitude': -0.24, 'voltage': 7.4, 'latitude': 38.83601, 'longitude': -77.40491, 'acceleration': {'z': 1.09, 'y': 0.06, 'x': 0.035}}
[26/Feb/2026 18:25:04] {'temperature': 22.04, 'altitude': -0.43, 'voltage': 7.4, 'latitude': 38.83601, 'longitude': -77.40491, 'acceleration': {'z': 1.096, 'y': 0.056, 'x': 0.036}}
[26/Feb/2026 18:25:05] {'temperature': 22.04, 'altitude': 0.13, 'voltage': 7.4, 'latitude': 38.83601, 'longitude': -77.40491, 'acceleration': {'z': 1.095, 'y': 0.058, 'x': 0.039}}
[26/Feb/2026 18:25:06] {'temperature': 22.05, 'altitude': -0.46, 'voltage': 7.4, 'latitude': 38.836, 'longitude': -77.4049, 'acceleration': {'z': 1.098, 'y': 0.06, 'x': 0.036}}
[26/Feb/2026 18:25:07] {'temperature': 22.05, 'altitude': -0.43, 'voltage': 7.4, 'latitude': 38.836, 'longitude': -77.4049, 'acceleration': {'z': 1.086, 'y': 0.057, 'x': 0.038}}
[26/Feb/2026 18:25:08] {'temperature': 22.05, 'altitude': -0.83, 'voltage': 7.4, 'latitude': 38.836, 'longitude': -77.4049, 'acceleration': {'z': 1.095, 'y': 0.06400001, 'x': 0.042}}
[26/Feb/2026 18:25:09] {'temperature': 22.05, 'altitude': -0.46, 'voltage': 7.4, 'latitude': 38.83601, 'longitude': -77.40491, 'acceleration': {'z': 1.091, 'y': 0.06, 'x': 0.038}}
[26/Feb/2026 18:25:10] {'temperature': 22.05, 'altitude': -0.27, 'voltage': 7.4, 'latitude': 38.83601, 'longitude': -77.40491, 'acceleration': {'z': 1.094, 'y': 0.061, 'x': 0.039}}
[26/Feb/2026 18:25:11] {'temperature': 22.06, 'altitude': -0.12, 'voltage': 7.4, 'latitude': 38.83601, 'longitude': -77.40492, 'acceleration': {'z': 1.092, 'y': 0.058, 'x': 0.041}}
[26/Feb/2026 18:25:12] {'temperature': 22.06, 'altitude': -0.71, 'voltage': 7.4, 'latitude': 38.83601, 'longitude': -77.40491, 'acceleration': {'z': 1.103, 'y': 0.062, 'x': 0.038}}
[26/Feb/2026 18:25:13] {'temperature': 22.06, 'altitude': -0.19, 'voltage': 7.4, 'latitude': 38.83601, 'longitude': -77.40492, 'acceleration': {'z': 1.096, 'y': 0.063, 'x': 0.034}}
[26/Feb/2026 18:25:14] {'temperature': 22.07, 'altitude': 0, 'voltage': 7.4, 'latitude': 38.83601, 'longitude': -77.40492, 'acceleration': {'z': 1.096, 'y': 0.053, 'x': 0.035}}
[26/Feb/2026 18:25:15] {'temperature': 22.06, 'altitude': -0.15, 'voltage': 7.4, 'latitude': 38.83601, 'longitude': -77.40491, 'acceleration': {'z': 1.09, 'y': 0.065, 'x': 0.034}}
[26/Feb/2026 18:25:16] {'temperature': 22.06, 'altitude': -0.15, 'voltage': 7.4, 'latitude': 38.836, 'longitude': -77.40491, 'acceleration': {'z': 1.091, 'y': 0.065, 'x': 0.034}}
[26/Feb/2026 18:25:17] {'temperature': 22.05, 'altitude': -0.31, 'voltage': 7.4, 'latitude': 38.83599, 'longitude': -77.40491, 'acceleration': {'z': 1.09, 'y': 0.05900001, 'x': 0.028}}
[26/Feb/2026 18:25:18] {'temperature': 22.05, 'altitude': -0.64, 'voltage': 7.4, 'latitude': 38.83599, 'longitude': -77.40492, 'acceleration': {'z': 1.096, 'y': 0.063, 'x': 0.038}}
[26/Feb/2026 18:25:19] {'temperature': 22.04, 'altitude': -0.24, 'voltage': 7.4, 'latitude': 38.83599, 'longitude': -77.40492, 'acceleration': {'z': 1.091, 'y': 0.057, 'x': 0.038}}
[26/Feb/2026 18:25:20] {'temperature': 22.05, 'altitude': -0.83, 'voltage': 7.4, 'latitude': 38.83598, 'longitude': -77.40493, 'acceleration': {'z': 1.095, 'y': 0.06, 'x': 0.033}}
[26/Feb/2026 18:25:21] {'temperature': 22.05, 'altitude': -1.05, 'voltage': 7.4, 'latitude': 38.83598, 'longitude': -77.40493, 'acceleration': {'z': 1.094, 'y': 0.057, 'x': 0.038}}
[26/Feb/2026 18:25:22] {'temperature': 22.05, 'altitude': -0.83, 'voltage': 7.4, 'latitude': 38.83599, 'longitude': -77.40493, 'acceleration': {'z': 1.091, 'y': 0.05, 'x': 0.037}}
[26/Feb/2026 18:25:23] {'temperature': 22.05, 'altitude': -0.83, 'voltage': 7.4, 'latitude': 38.836, 'longitude': -77.40493, 'acceleration': {'z': 1.092, 'y': 0.055, 'x': 0.037}}
[26/Feb/2026 18:25:24] {'temperature': 22.04, 'altitude': -1.17, 'voltage': 7.4, 'latitude': 38.836, 'longitude': -77.40492, 'acceleration': {'z': 1.1, 'y': 0.05900001, 'x': 0.035}}
[26/Feb/2026 18:25:25] {'temperature': 22.04, 'altitude': -0.99, 'voltage': 7.4, 'latitude': 38.83601, 'longitude': -77.40493, 'acceleration': {'z': 1.059, 'y': 0.114, 'x': -0.076}}
[26/Feb/2026 18:25:26] {'temperature': 22.04, 'altitude': -0.95, 'voltage': 7.4, 'latitude': 38.83601, 'longitude': -77.40494, 'acceleration': {'z': 1.044, 'y': -0.173, 'x': -0.04}}
[26/Feb/2026 18:25:27] {'temperature': 22.03, 'altitude': -0.91, 'voltage': 7.4, 'latitude': 38.83601, 'longitude': -77.40493, 'acceleration': {'z': 1.089, 'y': 0.058, 'x': 0.043}}
[26/Feb/2026 18:25:28] {'temperature': 22.04, 'altitude': -0.95, 'voltage': 7.4, 'latitude': 38.83601, 'longitude': -77.40495, 'acceleration': {'z': 1.096, 'y': 0.069, 'x': 0.037}}
[26/Feb/2026 18:25:29] {'temperature': 22.04, 'altitude': -0.58, 'voltage': 7.4, 'latitude': 38.83601, 'longitude': -77.40495, 'acceleration': {'z': 1.094, 'y': 0.071, 'x': 0.04}}
[26/Feb/2026 18:25:30] {'temperature': 22.05, 'altitude': -0.83, 'voltage': 7.4, 'latitude': 38.83602, 'longitude': -77.40495, 'acceleration': {'z': 1.09, 'y': 0.065, 'x': 0.045}}
[26/Feb/2026 18:25:31] {'temperature': 22.07, 'altitude': -1.3, 'voltage': 7.4, 'latitude': 38.83602, 'longitude': -77.40496, 'acceleration': {'z': 1.099, 'y': 0.063, 'x': 0.043}}
[26/Feb/2026 18:25:32] {'temperature': 22.07, 'altitude': -1.18, 'voltage': 7.4, 'latitude': 38.83601, 'longitude': -77.40497, 'acceleration': {'z': 1.09, 'y': 0.065, 'x': 0.042}}
[26/Feb/2026 18:25:33] {'temperature': 22.08, 'altitude': -1.18, 'voltage': 7.4, 'latitude': 38.83601, 'longitude': -77.40498, 'acceleration': {'z': 1.094, 'y': 0.073, 'x': 0.036}}
[26/Feb/2026 18:25:34] {'temperature': 22.08, 'altitude': -1.94, 'voltage': 7.4, 'latitude': 38.83601, 'longitude': -77.40497, 'acceleration': {'z': 1.096, 'y': 0.06800001, 'x': 0.042}}
[26/Feb/2026 18:25:35] {'temperature': 22.08, 'altitude': -1.57, 'voltage': 7.4, 'latitude': 38.836, 'longitude': -77.40495, 'acceleration': {'z': 1.09, 'y': 0.074, 'x': 0.042}}
