[19/Dec/2025 19:34:03] {'temperature': 27.04, 'altitude': -0.03, 'voltage': 0, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.077, 'y': 0.095, 'x': 0.094}}
[19/Dec/2025 19:34:39] {'temperature': 27.56, 'altitude': 1.95, 'voltage': 0, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.078, 'y': 0.11, 'x': 0.112}}
[19/Dec/2025 19:34:43] {'temperature': 27.75, 'altitude': 1.68, 'voltage': 0, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.074, 'y': 0.119, 'x': 0.113}}
[19/Dec/2025 19:34:45] {'temperature': 27.85, 'altitude': 1.59, 'voltage': 0, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.073, 'y': 0.113, 'x': 0.113}}
[19/Dec/2025 19:34:47] {'temperature': 27.93, 'altitude': 0.18, 'voltage': 0, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.084, 'y': 0.107, 'x': 0.116}}
[19/Dec/2025 19:34:49] {'temperature': 28.03, 'altitude': 0.66, 'voltage': 0, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.077, 'y': 0.109, 'x': 0.107}}
[19/Dec/2025 19:34:49] {'temperature': 28.04, 'altitude': 0.73, 'voltage': 0, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.079, 'y': 0.102, 'x': 0.106}}
[19/Dec/2025 19:34:53] {'temperature': 28.21, 'altitude': 0.07, 'voltage': 0, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.084, 'y': 0.094, 'x': 0.104}}
[19/Dec/2025 19:34:53] {'temperature': 28.22, 'altitude': -0.2, 'voltage': 0, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.086, 'y': 0.09700001, 'x': 0.096}}
[19/Dec/2025 19:34:58] {'temperature': 28.44, 'altitude': 0.37, 'voltage': 0, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.083, 'y': 0.089, 'x': 0.09700001}}
[19/Dec/2025 19:34:59] {'temperature': 28.47, 'altitude': 0.22, 'voltage': 0, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.074, 'y': 0.094, 'x': 0.096}}
[19/Dec/2025 19:35:04] {'temperature': 28.72, 'altitude': 2.37, 'voltage': 0, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.086, 'y': 0.077, 'x': 0.087}}
[19/Dec/2025 19:35:08] {'temperature': 28.99, 'altitude': 2.71, 'voltage': 0, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.087, 'y': 0.073, 'x': 0.093}}
[19/Dec/2025 19:35:13] {'temperature': 29.19, 'altitude': 3.37, 'voltage': 0, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.067, 'y': 0.107, 'x': 0.106}}
[19/Dec/2025 19:35:15] {'temperature': 29.27, 'altitude': 3.9, 'voltage': 0, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.076, 'y': 0.11, 'x': 0.105}}
[19/Dec/2025 19:35:17] {'temperature': 29.36, 'altitude': 3.98, 'voltage': 0, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.083, 'y': 0.124, 'x': 0.105}}
[19/Dec/2025 19:35:19] {'temperature': 29.43, 'altitude': 4.4, 'voltage': 0, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.082, 'y': 0.107, 'x': 0.108}}
[19/Dec/2025 19:35:21] {'temperature': 29.49, 'altitude': 4.3, 'voltage': 0, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.082, 'y': 0.115, 'x': 0.111}}
[19/Dec/2025 19:35:22] {'temperature': 29.54, 'altitude': 3.88, 'voltage': 0, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.078, 'y': 0.108, 'x': 0.107}}
[19/Dec/2025 19:35:24] {'temperature': 29.58, 'altitude': 3.49, 'voltage': 0, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.077, 'y': 0.09799999, 'x': 0.102}}
[19/Dec/2025 19:35:25] {'temperature': 29.62, 'altitude': 2.73, 'voltage': 0, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.069, 'y': 0.084, 'x': 0.1}}
[19/Dec/2025 19:35:28] {'temperature': 29.73, 'altitude': 2.35, 'voltage': 0, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.086, 'y': 0.101, 'x': 0.09700001}}
[19/Dec/2025 19:35:33] {'temperature': 30.01, 'altitude': 2.87, 'voltage': 0, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.084, 'y': 0.09099999, 'x': 0.101}}
[19/Dec/2025 19:35:38] {'temperature': 30.21, 'altitude': 1.31, 'voltage': 0, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.082, 'y': 0.099, 'x': 0.101}}
[19/Dec/2025 19:36:37] {'temperature': 31.67, 'altitude': 0.14, 'voltage': 0, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.069, 'y': 0.11, 'x': 0.114}}
[19/Dec/2025 19:36:41] {'temperature': 31.64, 'altitude': -1.22, 'voltage': 0, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.072, 'y': 0.106, 'x': 0.117}}
[19/Dec/2025 19:36:46] {'temperature': 31.54, 'altitude': -1.1, 'voltage': 0, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.073, 'y': 0.113, 'x': 0.114}}
[19/Dec/2025 19:36:50] {'temperature': 31.43, 'altitude': -0.9700001, 'voltage': 0, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.073, 'y': 0.103, 'x': 0.115}}
[19/Dec/2025 19:36:55] {'temperature': 31.34, 'altitude': -0.75, 'voltage': 0, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.075, 'y': 0.11, 'x': 0.112}}
[19/Dec/2025 19:37:00] {'temperature': 31.33, 'altitude': -0.72, 'voltage': 0, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.071, 'y': 0.11, 'x': 0.109}}
[19/Dec/2025 19:37:05] {'temperature': 31.38, 'altitude': -0.9, 'voltage': 0, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.077, 'y': 0.114, 'x': 0.109}}
[19/Dec/2025 19:37:09] {'temperature': 31.34, 'altitude': -1.47, 'voltage': 0, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.081, 'y': 0.114, 'x': 0.113}}
[19/Dec/2025 19:37:14] {'temperature': 31.31, 'altitude': -0.02, 'voltage': 0, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.083, 'y': 0.11, 'x': 0.111}}
[19/Dec/2025 19:37:16] {'temperature': 31.36, 'altitude': -0.04, 'voltage': 0, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.076, 'y': 0.103, 'x': 0.118}}
[19/Dec/2025 19:37:18] {'temperature': 31.38, 'altitude': 0.64, 'voltage': 0, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.07, 'y': 0.115, 'x': 0.111}}
[19/Dec/2025 19:37:20] {'temperature': 31.41, 'altitude': 0.47, 'voltage': 0, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.047, 'y': 0.106, 'x': 0.104}}
[19/Dec/2025 19:37:22] {'temperature': 31.44, 'altitude': 0.33, 'voltage': 0, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.079, 'y': 0.102, 'x': 0.111}}
[19/Dec/2025 19:37:23] {'temperature': 31.43, 'altitude': 0.33, 'voltage': 0, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.073, 'y': 0.112, 'x': 0.11}}
[19/Dec/2025 19:37:25] {'temperature': 31.44, 'altitude': 0.14, 'voltage': 0, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.08, 'y': 0.105, 'x': 0.104}}
[19/Dec/2025 19:37:27] {'temperature': 31.46, 'altitude': -0.92, 'voltage': 0, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.085, 'y': 0.106, 'x': 0.11}}
[19/Dec/2025 19:37:28] {'temperature': 31.48, 'altitude': -0.05, 'voltage': 0, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.077, 'y': 0.078, 'x': 0.095}}
[19/Dec/2025 19:37:30] {'temperature': 31.57, 'altitude': -0.11, 'voltage': 0, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.074, 'y': 0.102, 'x': 0.104}}
[19/Dec/2025 19:37:31] {'temperature': 31.57, 'altitude': -0.32, 'voltage': 0, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.08, 'y': 0.11, 'x': 0.111}}
[19/Dec/2025 19:37:32] {'temperature': 31.59, 'altitude': -0.39, 'voltage': 0, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.071, 'y': 0.115, 'x': 0.111}}
[19/Dec/2025 19:37:38] {'temperature': 31.63, 'altitude': -0.77, 'voltage': 0, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.07, 'y': 0.104, 'x': 0.115}}
[19/Dec/2025 19:37:45] {'temperature': 31.67, 'altitude': 1.07, 'voltage': 0, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.079, 'y': 0.103, 'x': 0.105}}
[19/Dec/2025 19:37:52] {'temperature': 31.74, 'altitude': -0.19, 'voltage': 0, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.067, 'y': 0.113, 'x': 0.115}}
[19/Dec/2025 19:37:59] {'temperature': 31.79, 'altitude': -0.78, 'voltage': 0, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.077, 'y': 0.109, 'x': 0.112}}
[19/Dec/2025 19:38:06] {'temperature': 31.89, 'altitude': -0.5, 'voltage': 0, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.074, 'y': 0.11, 'x': 0.113}}
[19/Dec/2025 19:38:12] {'temperature': 31.97, 'altitude': -0.29, 'voltage': 0, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.064, 'y': 0.112, 'x': 0.106}}
[19/Dec/2025 19:38:19] {'temperature': 32.07, 'altitude': -0.61, 'voltage': 0, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.075, 'y': 0.107, 'x': 0.122}}
[19/Dec/2025 19:38:25] {'temperature': 32.14, 'altitude': -1.3, 'voltage': 0, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.075, 'y': 0.113, 'x': 0.114}}
[19/Dec/2025 19:38:29] {'temperature': 32.14, 'altitude': -1.49, 'voltage': 0, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.081, 'y': 0.113, 'x': 0.118}}
[19/Dec/2025 19:38:30] {'temperature': 32.14, 'altitude': -1.49, 'voltage': 0, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.064, 'y': 0.112, 'x': 0.109}}
[19/Dec/2025 19:38:35] {'temperature': 32.24, 'altitude': -1.38, 'voltage': 0, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.074, 'y': 0.116, 'x': 0.112}}
[19/Dec/2025 19:38:39] {'temperature': 32.32, 'altitude': -0.98, 'voltage': 0, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.077, 'y': 0.109, 'x': 0.109}}
[19/Dec/2025 19:38:44] {'temperature': 32.43, 'altitude': -1.49, 'voltage': 0, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.082, 'y': 0.11, 'x': 0.113}}
[19/Dec/2025 19:38:49] {'temperature': 32.55, 'altitude': -1.7, 'voltage': 0, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.074, 'y': 0.113, 'x': 0.116}}
[19/Dec/2025 19:38:54] {'temperature': 32.54, 'altitude': -1.06, 'voltage': 0, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.075, 'y': 0.12, 'x': 0.109}}
[19/Dec/2025 19:38:58] {'temperature': 32.68, 'altitude': -1.14, 'voltage': 0, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.077, 'y': 0.112, 'x': 0.118}}
[19/Dec/2025 19:39:03] {'temperature': 32.7, 'altitude': -0.69, 'voltage': 0, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.074, 'y': 0.107, 'x': 0.108}}
[19/Dec/2025 20:50:06] {'temperature': 21.8, 'altitude': 1.25, 'voltage': 0, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.089, 'y': 0.11, 'x': 0.109}}
[19/Dec/2025 20:50:11] {'temperature': 21.86, 'altitude': 0.54, 'voltage': 0, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.091, 'y': 0.113, 'x': 0.111}}
[19/Dec/2025 20:50:16] {'temperature': 21.96, 'altitude': 0.34, 'voltage': 0, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.081, 'y': 0.115, 'x': 0.102}}
[19/Dec/2025 20:50:21] {'temperature': 22.24, 'altitude': 0.06, 'voltage': 0, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.076, 'y': 0.111, 'x': 0.101}}
[19/Dec/2025 20:50:23] {'temperature': 22.66, 'altitude': -2.21, 'voltage': 0, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.053, 'y': 0.128, 'x': 0.104}}
[19/Dec/2025 20:50:25] {'temperature': 23.06, 'altitude': 0.17, 'voltage': 0, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.085, 'y': 0.114, 'x': 0.109}}
[19/Dec/2025 20:50:27] {'temperature': 23.18, 'altitude': 0.45, 'voltage': 0, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.082, 'y': 0.114, 'x': 0.108}}
[19/Dec/2025 20:50:28] {'temperature': 23.21, 'altitude': 0.15, 'voltage': 0, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.079, 'y': 0.108, 'x': 0.11}}
[19/Dec/2025 20:50:32] {'temperature': 23.33, 'altitude': -0.02, 'voltage': 0, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.089, 'y': 0.115, 'x': 0.106}}
[19/Dec/2025 20:50:36] {'temperature': 23.47, 'altitude': 0.27, 'voltage': 0, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.087, 'y': 0.115, 'x': 0.108}}
[19/Dec/2025 20:50:41] {'temperature': 23.65, 'altitude': 0.38, 'voltage': 0, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.091, 'y': 0.114, 'x': 0.107}}
[19/Dec/2025 20:50:45] {'temperature': 24.05, 'altitude': -0.21, 'voltage': 0, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.078, 'y': 0.114, 'x': 0.111}}
[19/Dec/2025 20:50:50] {'temperature': 24.27, 'altitude': 0.39, 'voltage': 0, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.093, 'y': 0.106, 'x': 0.107}}
[19/Dec/2025 20:50:54] {'temperature': 24.51, 'altitude': 0.57, 'voltage': 0, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.078, 'y': 0.11, 'x': 0.112}}
[19/Dec/2025 20:50:59] {'temperature': 24.74, 'altitude': 0.33, 'voltage': 0, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.087, 'y': 0.113, 'x': 0.105}}
[19/Dec/2025 20:51:03] {'temperature': 24.99, 'altitude': -0.28, 'voltage': 0, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.075, 'y': 0.108, 'x': 0.112}}
[19/Dec/2025 20:53:55] {'temperature': 26.93, 'altitude': 0.47, 'voltage': 0, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.076, 'y': 0.111, 'x': 0.106}}
[19/Dec/2025 20:53:59] {'temperature': 26.91, 'altitude': 0.17, 'voltage': 0, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.126, 'y': 0.128, 'x': 0.146}}
[19/Dec/2025 20:54:02] {'temperature': 26.89, 'altitude': 0.31, 'voltage': 0, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.08, 'y': 0.094, 'x': 0.104}}
[19/Dec/2025 20:54:04] {'temperature': 26.89, 'altitude': 0.47, 'voltage': 0, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.081, 'y': 0.09700001, 'x': 0.101}}
[19/Dec/2025 20:54:07] {'temperature': 26.9, 'altitude': 0.44, 'voltage': 0, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.089, 'y': 0.105, 'x': 0.103}}
[19/Dec/2025 20:54:07] {'temperature': 26.91, 'altitude': 0.54, 'voltage': 0, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.091, 'y': 0.08200001, 'x': 0.095}}
[19/Dec/2025 20:54:10] {'temperature': 26.97, 'altitude': 0.25, 'voltage': 0, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.084, 'y': 0.093, 'x': 0.099}}
[19/Dec/2025 20:54:14] {'temperature': 27.02, 'altitude': -0.03, 'voltage': 0, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.087, 'y': 0.112, 'x': 0.111}}
[19/Dec/2025 20:54:17] {'temperature': 27.12, 'altitude': -0.31, 'voltage': 0, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.082, 'y': 0.12, 'x': 0.106}}
[19/Dec/2025 20:54:20] {'temperature': 27.2, 'altitude': -0.56, 'voltage': 0, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.081, 'y': 0.113, 'x': 0.112}}
[19/Dec/2025 20:54:23] {'temperature': 27.31, 'altitude': 0.16, 'voltage': 0, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.085, 'y': 0.11, 'x': 0.109}}
[19/Dec/2025 20:54:26] {'temperature': 27.42, 'altitude': -0.39, 'voltage': 0, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.085, 'y': 0.107, 'x': 0.113}}
[19/Dec/2025 20:54:30] {'temperature': 27.53, 'altitude': -0.47, 'voltage': 0, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.085, 'y': 0.114, 'x': 0.11}}
[19/Dec/2025 20:54:33] {'temperature': 27.68, 'altitude': -0.65, 'voltage': 0, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.085, 'y': 0.11, 'x': 0.106}}
[19/Dec/2025 20:54:36] {'temperature': 27.78, 'altitude': -0.25, 'voltage': 0, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.078, 'y': 0.105, 'x': 0.112}}
[19/Dec/2025 20:54:39] {'temperature': 27.9, 'altitude': -0.13, 'voltage': 0, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.075, 'y': 0.114, 'x': 0.109}}
[19/Dec/2025 20:54:42] {'temperature': 28.01, 'altitude': 1.71, 'voltage': 0, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.07, 'y': 0.105, 'x': 0.112}}
[19/Dec/2025 20:54:45] {'temperature': 28.11, 'altitude': 0.81, 'voltage': 0, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.076, 'y': 0.112, 'x': 0.109}}
[19/Dec/2025 20:54:48] {'temperature': 28.22, 'altitude': 0.43, 'voltage': 0, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.074, 'y': 0.111, 'x': 0.119}}
[19/Dec/2025 20:54:51] {'temperature': 28.36, 'altitude': -0.46, 'voltage': 0, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.076, 'y': 0.119, 'x': 0.115}}
[19/Dec/2025 20:54:53] {'temperature': 28.41, 'altitude': -1.12, 'voltage': 0, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.082, 'y': 0.107, 'x': 0.11}}
[19/Dec/2025 20:54:55] {'temperature': 28.5, 'altitude': -1.31, 'voltage': 0, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.083, 'y': 0.108, 'x': 0.109}}
[19/Dec/2025 20:54:58] {'temperature': 28.62, 'altitude': -1.84, 'voltage': 0, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.092, 'y': 0.109, 'x': 0.11}}
[19/Dec/2025 20:55:01] {'temperature': 28.77, 'altitude': -1.6, 'voltage': 0, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.078, 'y': 0.105, 'x': 0.111}}
[19/Dec/2025 20:55:04] {'temperature': 28.88, 'altitude': -1.29, 'voltage': 0, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.07, 'y': 0.114, 'x': 0.111}}
[19/Dec/2025 20:55:16] {'temperature': 29.28, 'altitude': -1.81, 'voltage': 0, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.074, 'y': 0.112, 'x': 0.105}}
[19/Dec/2025 20:55:19] {'temperature': 29.38, 'altitude': -1.97, 'voltage': 0, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.078, 'y': 0.106, 'x': 0.109}}
[19/Dec/2025 20:55:22] {'temperature': 29.51, 'altitude': -0.34, 'voltage': 0, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.079, 'y': 0.11, 'x': 0.109}}
[19/Dec/2025 20:55:26] {'temperature': 29.65, 'altitude': -0.26, 'voltage': 0, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.092, 'y': 0.105, 'x': 0.115}}
[19/Dec/2025 20:55:28] {'temperature': 29.77, 'altitude': -0.53, 'voltage': 0, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.073, 'y': 0.115, 'x': 0.12}}
[19/Dec/2025 20:55:31] {'temperature': 29.86, 'altitude': -0.77, 'voltage': 0, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.075, 'y': 0.115, 'x': 0.112}}
[19/Dec/2025 20:55:34] {'temperature': 29.96, 'altitude': -0.49, 'voltage': 0, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.068, 'y': 0.108, 'x': 0.117}}
[19/Dec/2025 20:55:37] {'temperature': 30.09, 'altitude': -1.17, 'voltage': 0, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.068, 'y': 0.105, 'x': 0.106}}
[19/Dec/2025 20:55:40] {'temperature': 30.19, 'altitude': -0.54, 'voltage': 0, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.091, 'y': 0.106, 'x': 0.111}}
[19/Dec/2025 20:55:43] {'temperature': 30.28, 'altitude': -0.64, 'voltage': 0, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.073, 'y': 0.113, 'x': 0.105}}
[19/Dec/2025 20:55:46] {'temperature': 30.42, 'altitude': 0.42, 'voltage': 0, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.083, 'y': 0.108, 'x': 0.117}}
[19/Dec/2025 20:55:49] {'temperature': 30.5, 'altitude': 0.16, 'voltage': 0, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.093, 'y': 0.106, 'x': 0.113}}
[19/Dec/2025 20:55:51] {'temperature': 30.63, 'altitude': -0.08, 'voltage': 0, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.078, 'y': 0.112, 'x': 0.109}}
[19/Dec/2025 20:55:54] {'temperature': 30.73, 'altitude': -0.01, 'voltage': 0, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.075, 'y': 0.112, 'x': 0.114}}
[19/Dec/2025 20:55:57] {'temperature': 30.85, 'altitude': 0.17, 'voltage': 0, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.08, 'y': 0.124, 'x': 0.116}}
[19/Dec/2025 20:56:00] {'temperature': 30.98, 'altitude': 1.06, 'voltage': 0, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.076, 'y': 0.109, 'x': 0.114}}
[19/Dec/2025 20:56:04] {'temperature': 31.06, 'altitude': 0.8, 'voltage': 0, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.072, 'y': 0.114, 'x': 0.114}}
[19/Dec/2025 20:56:04] {'temperature': 31.1, 'altitude': 0.45, 'voltage': 0, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.081, 'y': 0.117, 'x': 0.108}}
[19/Dec/2025 20:56:07] {'temperature': 31.17, 'altitude': 1.07, 'voltage': 0, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.071, 'y': 0.106, 'x': 0.11}}
[19/Dec/2025 20:56:10] {'temperature': 31.23, 'altitude': 0.2, 'voltage': 0, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.078, 'y': 0.114, 'x': 0.115}}
[19/Dec/2025 20:56:13] {'temperature': 31.26, 'altitude': -0.49, 'voltage': 0, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.077, 'y': 0.113, 'x': 0.113}}
[19/Dec/2025 20:57:48] {'temperature': 28.01, 'altitude': 0.84, 'voltage': 0, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.077, 'y': 0.113, 'x': 0.115}}
[19/Dec/2025 20:57:52] {'temperature': 27.9, 'altitude': 0.28, 'voltage': 0, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.082, 'y': 0.115, 'x': 0.112}}
[19/Dec/2025 20:57:55] {'temperature': 27.8, 'altitude': 0.64, 'voltage': 0, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.079, 'y': 0.114, 'x': 0.112}}
[19/Dec/2025 20:57:58] {'temperature': 27.72, 'altitude': -26.37, 'voltage': 0, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.083, 'y': 0.112, 'x': 0.112}}
