[19/Nov/2024 19:15:48] {'latitude': 0, 'longitude': 0, 'altitude': -0.1, 'pressure': 99961.8, 'x_rotation': -1, 'y_rotation': 2, 'z_rotation': -34, 'temperature': 22.1, 'launched': 0, 'target_altitude_reached': 0, 'parachute_released': 0, 'instrument_released': 0}
[19/Nov/2024 19:16:00] {'latitude': 0, 'longitude': 0, 'altitude': -0.8, 'pressure': 99969.4, 'x_rotation': 29, 'y_rotation': 9, 'z_rotation': -9, 'temperature': 22.3, 'launched': 0, 'target_altitude_reached': 0, 'parachute_released': 0, 'instrument_released': 0}
[19/Nov/2024 19:16:01] {'latitude': 0, 'longitude': 0, 'altitude': -0.9, 'pressure': 99970.8, 'x_rotation': 28, 'y_rotation': 4, 'z_rotation': -4, 'temperature': 22.3, 'launched': 0, 'target_altitude_reached': 0, 'parachute_released': 0, 'instrument_released': 0}
[19/Nov/2024 19:16:01] {'latitude': 0, 'longitude': 0, 'altitude': -0.9, 'pressure': 99970.8, 'x_rotation': 34, 'y_rotation': 0, 'z_rotation': -5, 'temperature': 22.3, 'launched': 0, 'target_altitude_reached': 0, 'parachute_released': 0, 'instrument_released': 0}
[19/Nov/2024 19:16:02] {'latitude': 0, 'longitude': 0, 'altitude': -0.9, 'pressure': 99970.7, 'x_rotation': 29, 'y_rotation': 1, 'z_rotation': -4, 'temperature': 22.3, 'launched': 0, 'target_altitude_reached': 0, 'parachute_released': 0, 'instrument_released': 0}
[19/Nov/2024 19:16:02] {'latitude': 0, 'longitude': 0, 'altitude': -0.9, 'pressure': 99970.7, 'x_rotation': 30, 'y_rotation': 1, 'z_rotation': -3, 'temperature': 22.3, 'launched': 0, 'target_altitude_reached': 0, 'parachute_released': 0, 'instrument_released': 0}
[19/Nov/2024 19:16:03] {'latitude': 0, 'longitude': 0, 'altitude': -1, 'pressure': 99972.8, 'x_rotation': -126, 'y_rotation': 0, 'z_rotation': -13, 'temperature': 22.3, 'launched': 0, 'target_altitude_reached': 0, 'parachute_released': 0, 'instrument_released': 0}
[19/Nov/2024 19:16:03] {'latitude': 0, 'longitude': 0, 'altitude': -1.2, 'pressure': 99974.8, 'x_rotation': None, 'y_rotation': None, 'z_rotation': None, 'temperature': None, 'launched': None, 'target_altitude_reached': None, 'parachute_released': None, 'instrument_released': None}
[19/Nov/2024 19:16:04] {'latitude': 0, 'longitude': 0, 'altitude': -1, 'pressure': 99972.7, 'x_rotation': 42, 'y_rotation': -1, 'z_rotation': -5, 'temperature': 22.3, 'launched': 0, 'target_altitude_reached': 0, 'parachute_released': 0, 'instrument_released': 0}
[19/Nov/2024 19:16:04] {'latitude': 0, 'longitude': 0, 'altitude': -1.1, 'pressure': 99973.4, 'x_rotation': 26, 'y_rotation': -1, 'z_rotation': -8, 'temperature': 22.3, 'launched': 0, 'target_altitude_reached': 0, 'parachute_released': 0, 'instrument_released': 0}
[19/Nov/2024 19:16:05] {'latitude': 0, 'longitude': 0, 'altitude': -1, 'pressure': 99972.7, 'x_rotation': 36, 'y_rotation': 0, 'z_rotation': -6, 'temperature': 22.3, 'launched': 0, 'target_altitude_reached': 0, 'parachute_released': 0, 'instrument_released': 0}
[19/Nov/2024 19:16:05] {'latitude': 0, 'longitude': 0, 'altitude': -0.7, 'pressure': 99969, 'x_rotation': 35, 'y_rotation': 2, 'z_rotation': -6, 'temperature': 22.3, 'launched': 0, 'target_altitude_reached': 0, 'parachute_released': 0, 'instrument_released': 0}
[19/Nov/2024 19:16:06] {'latitude': None, 'longitude': None, 'altitude': None, 'pressure': None, 'x_rotation': None, 'y_rotation': None, 'z_rotation': None, 'temperature': None, 'launched': None, 'target_altitude_reached': None, 'parachute_released': None, 'instrument_released': None}
[19/Nov/2024 19:16:06] {'latitude': 0, 'longitude': 0, 'altitude': -0.4, 'pressure': 99964.8, 'x_rotation': 18, 'y_rotation': 9, 'z_rotation': -21, 'temperature': 22.3, 'launched': 0, 'target_altitude_reached': 0, 'parachute_released': 0, 'instrument_released': 0}
[19/Nov/2024 19:16:07] {'latitude': 0, 'longitude': 0, 'altitude': -0.3, 'pressure': 99963.5, 'x_rotation': 8, 'y_rotation': 19, 'z_rotation': -30, 'temperature': 22.3, 'launched': 0, 'target_altitude_reached': 0, 'parachute_released': 0, 'instrument_released': 0}
[19/Nov/2024 19:16:07] {'latitude': 0, 'longitude': 0, 'altitude': -0.2, 'pressure': 99962.2, 'x_rotation': -14, 'y_rotation': 11, 'z_rotation': -18, 'temperature': 22.3, 'launched': 0, 'target_altitude_reached': 0, 'parachute_released': 0, 'instrument_released': 0}
[19/Nov/2024 19:16:08] {'latitude': 0, 'longitude': 0, 'altitude': -0.3, 'pressure': 99964.3, 'x_rotation': None, 'y_rotation': None, 'z_rotation': None, 'temperature': None, 'launched': None, 'target_altitude_reached': None, 'parachute_released': None, 'instrument_released': None}
[19/Nov/2024 19:16:08] {'latitude': 0, 'longitude': 0, 'altitude': -0.5, 'pressure': 99966.3, 'x_rotation': 11, 'y_rotation': 3, 'z_rotation': -27, 'temperature': 22.3, 'launched': 0, 'target_altitude_reached': 0, 'parachute_released': 0, 'instrument_released': 0}
[19/Nov/2024 19:16:09] {'latitude': 0, 'longitude': 0, 'altitude': -0.5, 'pressure': 99966.3, 'x_rotation': 2, 'y_rotation': -11, 'z_rotation': -33, 'temperature': 22.3, 'launched': 0, 'target_altitude_reached': 0, 'parachute_released': 0, 'instrument_released': 0}
[19/Nov/2024 19:16:09] {'latitude': 0, 'longitude': 0, 'altitude': -0.4, 'pressure': 99964.9, 'x_rotation': 6, 'y_rotation': -5, 'z_rotation': -31, 'temperature': 22.3, 'launched': 0, 'target_altitude_reached': 0, 'parachute_released': 0, 'instrument_released': 0}
[19/Nov/2024 19:16:10] {'latitude': 0, 'longitude': 0, 'altitude': -0.2, 'pressure': 99962.8, 'x_rotation': -4, 'y_rotation': 0, 'z_rotation': -26, 'temperature': 22.3, 'launched': 0, 'target_altitude_reached': 0, 'parachute_released': None, 'instrument_released': None}
[19/Nov/2024 19:16:10] {'latitude': 0, 'longitude': 0, 'altitude': -0.3, 'pressure': 99963.5, 'x_rotation': -1, 'y_rotation': 2, 'z_rotation': -34, 'temperature': 22.3, 'launched': 0, 'target_altitude_reached': 0, 'parachute_released': 0, 'instrument_released': 0}
[19/Nov/2024 19:16:11] {'latitude': 0, 'longitude': 0, 'altitude': -0.3, 'pressure': 99964.3, 'x_rotation': -1, 'y_rotation': 2, 'z_rotation': -34, 'temperature': 22.3, 'launched': 0, 'target_altitude_reached': 0, 'parachute_released': 0, 'instrument_released': 0}
[19/Nov/2024 19:16:11] {'latitude': 0, 'longitude': 0, 'altitude': -0.3, 'pressure': 99963.6, 'x_rotation': -1, 'y_rotation': 2, 'z_rotation': -34, 'temperature': 22.3, 'launched': 0, 'target_altitude_reached': 0, 'parachute_released': 0, 'instrument_released': 0}
[19/Nov/2024 19:16:12] {'latitude': 0, 'longitude': 0, 'altitude': -0.3, 'pressure': 99964.4, 'x_rotation': -1, 'y_rotation': 2, 'z_rotation': -34, 'temperature': 22.3, 'launched': 0, 'target_altitude_reached': 0, 'parachute_released': 0, 'instrument_released': 0}
[19/Nov/2024 19:16:12] {'latitude': 0, 'longitude': 0, 'altitude': -0.3, 'pressure': 99, 'x_rotation': None, 'y_rotation': None, 'z_rotation': None, 'temperature': None, 'launched': None, 'target_altitude_reached': None, 'parachute_released': None, 'instrument_released': None}
[19/Nov/2024 19:16:13] {'latitude': 0, 'longitude': 0, 'altitude': -0.3, 'pressure': 99964.4, 'x_rotation': -2, 'y_rotation': 2, 'z_rotation': -34, 'temperature': 22.3, 'launched': 0, 'target_altitude_reached': 0, 'parachute_released': 0, 'instrument_released': 0}
[19/Nov/2024 19:16:13] {'latitude': 0, 'longitude': 0, 'altitude': -0.3, 'pressure': 99964.4, 'x_rotation': -1, 'y_rotation': 2, 'z_rotation': -34, 'temperature': 22.3, 'launched': 0, 'target_altitude_reached': 0, 'parachute_released': 0, 'instrument_released': 0}
[19/Nov/2024 19:16:14] {'latitude': 0, 'longitude': 0, 'altitude': -0.2, 'pressure': 99962.3, 'x_rotation': -1, 'y_rotation': 2, 'z_rotation': -34, 'temperature': 22.3, 'launched': 0, 'target_altitude_reached': 0, 'parachute_released': 0, 'instrument_released': 0}
[19/Nov/2024 19:16:14] {'latitude': 0, 'longitude': 0, 'altitude': -0.3, 'pressure': 99964.4, 'x_rotation': -1, 'y_rotation': 2, 'z_rotation': -34, 'temperature': 22.3, 'launched': 0, 'target_altitude_reached': None, 'parachute_released': None, 'instrument_released': None}
[19/Nov/2024 19:16:15] {'latitude': 0, 'longitude': 0, 'altitude': -0.4, 'pressure': 99965.2, 'x_rotation': -1, 'y_rotation': 2, 'z_rotation': -34, 'temperature': 22.3, 'launched': 0, 'target_altitude_reached': 0, 'parachute_released': 0, 'instrument_released': 0}
[19/Nov/2024 19:16:15] {'latitude': 0, 'longitude': 0, 'altitude': -0.5, 'pressure': 99965.9, 'x_rotation': 1, 'y_rotation': 4, 'z_rotation': -36, 'temperature': 22.3, 'launched': 0, 'target_altitude_reached': 0, 'parachute_released': 0, 'instrument_released': 0}
[19/Nov/2024 19:16:16] {'latitude': 0, 'longitude': 0, 'altitude': -0.3, 'pressure': 99964.5, 'x_rotation': -16, 'y_rotation': -13, 'z_rotation': -40, 'temperature': 22.3, 'launched': 0, 'target_altitude_reached': 0, 'parachute_released': 0, 'instrument_released': 0}
[19/Nov/2024 19:16:16] {'latitude': 0, 'longitude': 0, 'altitude': 0.3, 'pressure': 99957.4, 'x_rotation': -28, 'y_rotation': -4, 'z_rotation': -12, 'temperature': 22.3, 'launched': 0, 'target_altitude_reached': 0, 'parachute_released': 0, 'instrument_released': 0}
[19/Nov/2024 19:16:17] {'latitude': 0, 'longitude': 0, 'altitude': 0, 'pressure': None, 'x_rotation': None, 'y_rotation': None, 'z_rotation': None, 'temperature': None, 'launched': None, 'target_altitude_reached': None, 'parachute_released': None, 'instrument_released': None}
[19/Nov/2024 19:16:17] {'latitude': 0, 'longitude': 0, 'altitude': 0.9, 'pressure': 99949.6, 'x_rotation': -27, 'y_rotation': -7, 'z_rotation': -4, 'temperature': 22.3, 'launched': 0, 'target_altitude_reached': 0, 'parachute_released': 0, 'instrument_released': 0}
[19/Nov/2024 19:16:18] {'latitude': 0, 'longitude': 0, 'altitude': 0.9, 'pressure': 99949.9, 'x_rotation': -31, 'y_rotation': -3, 'z_rotation': -8, 'temperature': 22.3, 'launched': 0, 'target_altitude_reached': 0, 'parachute_released': 0, 'instrument_released': 0}
[19/Nov/2024 19:16:19] {'latitude': 0, 'longitude': 0, 'altitude': 1, 'pressure': 99948.8, 'x_rotation': -30, 'y_rotation': -6, 'z_rotation': -4, 'temperature': 22.3, 'launched': 0, 'target_altitude_reached': 0, 'parachute_released': 0, 'instrument_released': 0}
[19/Nov/2024 19:16:19] {'latitude': 0, 'longitude': 0, 'altitude': 0.8, 'pressure': 99950.7, 'x_rotation': -17, 'y_rotation': -2, 'z_rotation': -23, 'temperature': None, 'launched': None, 'target_altitude_reached': None, 'parachute_released': None, 'instrument_released': None}
[19/Nov/2024 19:16:20] {'latitude': 0, 'longitude': 0, 'altitude': 0.1, 'pressure': 99959.6, 'x_rotation': -3, 'y_rotation': -4, 'z_rotation': -42, 'temperature': 22.3, 'launched': 0, 'target_altitude_reached': 0, 'parachute_released': 0, 'instrument_released': 0}
[19/Nov/2024 19:16:20] {'latitude': 0, 'longitude': 0, 'altitude': -0.2, 'pressure': 99962.9, 'x_rotation': 2, 'y_rotation': 5, 'z_rotation': -35, 'temperature': 22.3, 'launched': 0, 'target_altitude_reached': 0, 'parachute_released': 0, 'instrument_released': 0}
[19/Nov/2024 19:16:21] {'latitude': 0, 'longitude': 0, 'altitude': -0.3, 'pressure': 99963.7, 'x_rotation': -2, 'y_rotation': 2, 'z_rotation': -34, 'temperature': 22.3, 'launched': 0, 'target_altitude_reached': 0, 'parachute_released': 0, 'instrument_released': 0}
[19/Nov/2024 19:16:21] {'latitude': 0, 'longitude': 0, 'altitude': -0.3, 'pressure': 99964.5, 'x_rotation': -1, 'y_rotation': 1, 'z_rotation': -34, 'temperature': 22.3, 'launched': 0, 'target_altitude_reached': 0, 'parachute_released': 0, 'instrument_released': 0}
[19/Nov/2024 19:16:22] {'latitude': 0, 'longitude': 0, 'altitude': None, 'pressure': None, 'x_rotation': None, 'y_rotation': None, 'z_rotation': None, 'temperature': None, 'launched': None, 'target_altitude_reached': None, 'parachute_released': None, 'instrument_released': None}
[19/Nov/2024 19:16:22] {'latitude': 0, 'longitude': 0, 'altitude': -0.4, 'pressure': 99965.3, 'x_rotation': -1, 'y_rotation': 2, 'z_rotation': -34, 'temperature': 22.3, 'launched': 0, 'target_altitude_reached': 0, 'parachute_released': 0, 'instrument_released': 0}
[19/Nov/2024 19:16:23] {'latitude': 0, 'longitude': 0, 'altitude': -0.4, 'pressure': 99964.6, 'x_rotation': -1, 'y_rotation': 2, 'z_rotation': -34, 'temperature': 22.3, 'launched': 0, 'target_altitude_reached': 0, 'parachute_released': 0, 'instrument_released': 0}
[19/Nov/2024 19:16:23] {'latitude': 0, 'longitude': 0, 'altitude': -0.4, 'pressure': 99965.3, 'x_rotation': -1, 'y_rotation': 1, 'z_rotation': -34, 'temperature': 22.3, 'launched': 0, 'target_altitude_reached': 0, 'parachute_released': 0, 'instrument_released': 0}
[19/Nov/2024 19:16:24] {'latitude': 0, 'longitude': 0, 'altitude': -0.5, 'pressure': 99966.8, 'x_rotation': 4, 'y_rotation': 1, 'z_rotation': -34, 'temperature': None, 'launched': None, 'target_altitude_reached': None, 'parachute_released': None, 'instrument_released': None}
[19/Nov/2024 19:16:24] {'latitude': 0, 'longitude': 0, 'altitude': -0.3, 'pressure': 99964.1, 'x_rotation': -7, 'y_rotation': 3, 'z_rotation': 0, 'temperature': 22.3, 'launched': 0, 'target_altitude_reached': 0, 'parachute_released': 0, 'instrument_released': 0}
[19/Nov/2024 19:16:25] {'latitude': 0, 'longitude': 0, 'altitude': -0.2, 'pressure': 99962.6, 'x_rotation': -3, 'y_rotation': -8, 'z_rotation': -45, 'temperature': 22.3, 'launched': 0, 'target_altitude_reached': 0, 'parachute_released': 0, 'instrument_released': 0}
[19/Nov/2024 19:16:25] {'latitude': 0, 'longitude': 0, 'altitude': 0, 'pressure': 99960.5, 'x_rotation': -11, 'y_rotation': -2, 'z_rotation': -1, 'temperature': 22.3, 'launched': 0, 'target_altitude_reached': 0, 'parachute_released': 0, 'instrument_released': 0}
[19/Nov/2024 19:16:26] {'latitude': 0, 'longitude': 0, 'altitude': -0.2, 'pressure': 99962.6, 'x_rotation': -8, 'y_rotation': -1, 'z_rotation': -40, 'temperature': 22.3, 'launched': 0, 'target_altitude_reached': 0, 'parachute_released': 0, 'instrument_released': 0}
[19/Nov/2024 19:16:26] {'latitude': 0, 'longitude': 0, 'altitude': None, 'pressure': None, 'x_rotation': None, 'y_rotation': None, 'z_rotation': None, 'temperature': None, 'launched': None, 'target_altitude_reached': None, 'parachute_released': None, 'instrument_released': None}
[19/Nov/2024 19:16:27] {'latitude': 0, 'longitude': 0, 'altitude': -0.3, 'pressure': 99964, 'x_rotation': -8, 'y_rotation': -5, 'z_rotation': -31, 'temperature': 22.3, 'launched': 0, 'target_altitude_reached': 0, 'parachute_released': 0, 'instrument_released': 0}
[19/Nov/2024 19:16:27] {'latitude': 0, 'longitude': 0, 'altitude': -0.4, 'pressure': 99965.4, 'x_rotation': 0, 'y_rotation': -8, 'z_rotation': -36, 'temperature': 22.3, 'launched': 0, 'target_altitude_reached': 0, 'parachute_released': 0, 'instrument_released': 0}
[19/Nov/2024 19:16:28] {'latitude': 0, 'longitude': 0, 'altitude': -0.3, 'pressure': 99964, 'x_rotation': -5, 'y_rotation': -17, 'z_rotation': -34, 'temperature': 22.3, 'launched': 0, 'target_altitude_reached': 0, 'parachute_released': 0, 'instrument_released': 0}
[19/Nov/2024 19:16:28] {'latitude': 0, 'longitude': 0, 'altitude': -0.3, 'pressure': 99964.1, 'x_rotation': -9, 'y_rotation': None, 'z_rotation': None, 'temperature': None, 'launched': None, 'target_altitude_reached': None, 'parachute_released': None, 'instrument_released': None}
[19/Nov/2024 19:16:29] {'latitude': 0, 'longitude': 0, 'altitude': 0, 'pressure': 99959.9, 'x_rotation': -5, 'y_rotation': -7, 'z_rotation': -5, 'temperature': 22.3, 'launched': 0, 'target_altitude_reached': 0, 'parachute_released': 0, 'instrument_released': 0}
[19/Nov/2024 19:16:29] {'latitude': 0, 'longitude': 0, 'altitude': -0.1, 'pressure': 99961.8, 'x_rotation': -18, 'y_rotation': -9, 'z_rotation': -44, 'temperature': 22.3, 'launched': 0, 'target_altitude_reached': 0, 'parachute_released': 0, 'instrument_released': 0}
[19/Nov/2024 19:16:30] {'latitude': 0, 'longitude': 0, 'altitude': -0.3, 'pressure': 99964.5, 'x_rotation': -8, 'y_rotation': 2, 'z_rotation': -30, 'temperature': 22.3, 'launched': 0, 'target_altitude_reached': 0, 'parachute_released': 0, 'instrument_released': 0}
[19/Nov/2024 19:16:30] {'latitude': 0, 'longitude': 0, 'altitude': -0.5, 'pressure': 99965.9, 'x_rotation': 0, 'y_rotation': 4, 'z_rotation': -36, 'temperature': 22.3, 'launched': 0, 'target_altitude_reached': 0, 'parachute_released': 0, 'instrument_released': 0}
[19/Nov/2024 19:16:31] {'latitude': 0, 'longitude': 0, 'altitude': -0.5, 'pressure': 99966, 'x_rotation': -2, 'y_rotation': 2, 'z_rotation': -34, 'temperature': 22.3, 'launched': 0, 'target_altitude_reached': 0, 'parachute_released': 0, 'instrument_released': 0}
[19/Nov/2024 19:16:31] {'latitude': 0, 'longitude': 0, 'altitude': -0.4, 'pressure': 99964.6, 'x_rotation': 1, 'y_rotation': 0, 'z_rotation': -32, 'temperature': 22.3, 'launched': 0, 'target_altitude_reached': 0, 'parachute_released': 0, 'instrument_released': 0}
[19/Nov/2024 19:16:32] {'latitude': 0, 'longitude': 0, 'altitude': -0.2, 'pressure': 99963.2, 'x_rotation': 1, 'y_rotation': 40, 'z_rotation': -9, 'temperature': 22.3, 'launched': 0, 'target_altitude_reached': 0, 'parachute_released': 0, 'instrument_released': 0}
[19/Nov/2024 19:16:32] {'latitude': 0, 'longitude': 0, 'altitude': -0.2, 'pressure': 99962.5, 'x_rotation': -8, 'y_rotation': -14, 'z_rotation': -31, 'temperature': 22.3, 'launched': 0, 'target_altitude_reached': 0, 'parachute_released': 0, 'instrument_released': 0}
[19/Nov/2024 19:16:33] {'latitude': 0, 'longitude': 0, 'altitude': -0.3, 'pressure': 99964, 'x_rotation': None, 'y_rotation': None, 'z_rotation': None, 'temperature': None, 'launched': None, 'target_altitude_reached': None, 'parachute_released': None, 'instrument_released': None}
[19/Nov/2024 19:16:33] {'latitude': 0, 'longitude': 0, 'altitude': -0.1, 'pressure': 99961.8, 'x_rotation': -8, 'y_rotation': -20, 'z_rotation': -13, 'temperature': 22.3, 'launched': 0, 'target_altitude_reached': 0, 'parachute_released': 0, 'instrument_released': 0}
[19/Nov/2024 19:16:34] {'latitude': 0, 'longitude': 0, 'altitude': -0.4, 'pressure': 99965.3, 'x_rotation': -2, 'y_rotation': 9, 'z_rotation': -38, 'temperature': 22.3, 'launched': 0, 'target_altitude_reached': 0, 'parachute_released': 0, 'instrument_released': 0}
[19/Nov/2024 19:16:34] {'latitude': 0, 'longitude': 0, 'altitude': -0.5, 'pressure': 99965.9, 'x_rotation': -3, 'y_rotation': 3, 'z_rotation': -34, 'temperature': 22.3, 'launched': 0, 'target_altitude_reached': 0, 'parachute_released': 0, 'instrument_released': 0}
[19/Nov/2024 19:16:35] {'latitude': 0, 'longitude': 0, 'altitude': -0.4, 'pressure': 99965.2, 'x_rotation': -1, 'y_rotation': 3, 'z_rotation': -35, 'temperature': 22.3, 'launched': 0, 'target_altitude_reached': 0, 'parachute_released': 0, 'instrument_released': None}
[19/Nov/2024 19:16:35] {'latitude': 0, 'longitude': 0, 'altitude': -0.5, 'pressure': 99966, 'x_rotation': -1, 'y_rotation': 2, 'z_rotation': -34, 'temperature': 22.3, 'launched': 0, 'target_altitude_reached': 0, 'parachute_released': 0, 'instrument_released': 0}
[19/Nov/2024 19:16:36] {'latitude': 0, 'longitude': 0, 'altitude': -0.4, 'pressure': 99964.6, 'x_rotation': -1, 'y_rotation': 1, 'z_rotation': -34, 'temperature': 22.3, 'launched': 0, 'target_altitude_reached': 0, 'parachute_released': 0, 'instrument_released': 0}
